mmu-miR-147-3p,Delq1338_wt
mmu-miR-669o-3p,Del997_wt
mmu-miR-1191b-5p,wt_mf
mmu-miR-702-3p,del1338_mf,del997_mf
mmu-let-7a-1-3p,del997_mf,Del997_wt
mmu-miR-134-5p,Delq1338_wt
mmu-miR-210-5p,Del997_wt,del1338_mf,del997_mf
mmu-miR-1668,wt_mf
mmu-miR-411-5p,del1338_mf
mmu-miR-1964-3p,del997_mf
mmu-miR-96-5p,Delq1338_wt
mmu-miR-32-5p,Del997_wt
mmu-miR-1306-5p,wt_mf,del997_mf
mmu-miR-6972-3p,del1338_mf,del997_mf
mmu-miR-328-3p,del997_mf
mmu-miR-147-5p,Delq1338_wt
mmu-miR-467d-3p,Del997_wt
mmu-miR-8103,wt_mf
mmu-miR-342-3p,del1338_mf
mmu-miR-1949,del997_mf,Del997_wt
mmu-miR-370-3p,Delq1338_wt
mmu-miR-455-5p,wt_mf
mmu-miR-379-5p,del1338_mf,Delq1338_wt
mmu-miR-532-3p,del997_mf
mmu-miR-541-5p,Delq1338_wt
mmu-let-7c-2-3p,Del997_wt
mmu-miR-15a-3p,wt_mf
mmu-miR-486b-5p,del1338_mf,wt_mf,del997_mf
mmu-miR-451a,del997_mf,wt_mf
mmu-miR-300-3p,Delq1338_wt,del1338_mf
mmu-miR-486b-3p,wt_mf,del997_mf
mmu-miR-33-5p,del997_mf
mmu-miR-409-3p,Delq1338_wt,del1338_mf
mmu-miR-130b-5p,Del997_wt,del997_mf
mmu-miR-224-5p,wt_mf,del1338_mf
mmu-miR-486a-5p,del1338_mf,wt_mf,del997_mf
mmu-miR-615-3p,del997_mf,wt_mf
mmu-miR-183-5p,Delq1338_wt
mmu-miR-671-5p,del1338_mf
mmu-miR-5107-3p,del997_mf
mmu-miR-486a-3p,wt_mf,del997_mf
mmu-miR-434-5p,del1338_mf,Delq1338_wt
mmu-miR-182-5p,Delq1338_wt
mmu-miR-5100,wt_mf,del1338_mf,del997_mf
mmu-miR-1249-3p,del997_mf
mmu-miR-92b-3p,del997_mf
mmu-miR-466i-3p,Delq1338_wt,del1338_mf
mmu-miR-8114,del997_mf
mmu-miR-409-5p,del1338_mf
mmu-miR-144-5p,wt_mf,del997_mf
mmu-miR-144-3p,wt_mf,del997_mf
mmu-miR-7047-3p,del1338_mf
mmu-miR-7012-5p,del1338_mf
mmu-miR-466g,del1338_mf
mmu-miR-299a-3p,del1338_mf
mmu-miR-329-3p,del1338_mf
mmu-miR-433-3p,del1338_mf
