mmu-miR-466i-5p;wt_mf;del1338_mf;del997_mf
mmu-miR-574-5p;wt_mf;del1338_mf;del997_mf
mmu-miR-669c-5p;wt_mf;del1338_mf;del997_mf
mmu-miR-451a;Del997_wt;Delq1338_wt
mmu-let-7k;Del997_wt;del997_mf
mmu-let-7c-1-3p;Delq1338_wt;del1338_mf
mmu-miR-486b-5p;Delq1338_wt;Del997_wt
mmu-miR-486a-5p;Delq1338_wt;Del997_wt
mmu-miR-144-3p;Delq1338_wt
mmu-miR-144-5p;Delq1338_wt
mmu-miR-122-5p;Del997_wt
mmu-miR-6240;Del997_wt
mmu-miR-1958;wt_mf
mmu-miR-5709-5p;del1338_mf
mmu-miR-1938;del997_mf
mmu-miR-467c-3p;wt_mf
mmu-miR-29b-1-5p;Del997_wt
mmu-miR-23b-5p;del1338_mf
mmu-miR-214-3p;del997_mf
mmu-miR-455-5p;Delq1338_wt
mmu-miR-199a-3p;del1338_mf
mmu-miR-212-3p;del997_mf
mmu-miR-486a-3p;Delq1338_wt
mmu-miR-199b-3p;del1338_mf
mmu-miR-7b-5p;del997_mf
mmu-miR-99a-5p;Delq1338_wt
mmu-miR-199b-5p;del1338_mf
mmu-miR-125b-1-3p;del997_mf
mmu-miR-382-5p;del997_mf
mmu-miR-145a-5p;del997_mf
mmu-miR-143-3p;del997_mf
